model,class,support,precision,recall,f1
WaferCNN,none,22115,0.9977,0.9608,0.9789
WaferCNN,Center,644,0.7941,0.9581,0.8684
WaferCNN,Donut,83,0.9359,0.8795,0.9068
WaferCNN,Edge-Loc,779,0.6852,0.9166,0.7842
WaferCNN,Edge-Ring,1452,0.9499,0.9917,0.9704
WaferCNN,Loc,539,0.6546,0.8757,0.7492
WaferCNN,Near-full,22,0.88,1.0,0.9362
WaferCNN,Random,130,0.7391,0.9154,0.8179
WaferCNN,Scratch,179,0.5,0.9106,0.6455
MobileNetV3-Small,none,22115,0.9962,0.9037,0.9477
MobileNetV3-Small,Center,644,0.6569,0.9394,0.7732
MobileNetV3-Small,Donut,83,0.7374,0.8795,0.8022
MobileNetV3-Small,Edge-Loc,779,0.4835,0.8845,0.6252
MobileNetV3-Small,Edge-Ring,1452,0.8939,0.9752,0.9328
MobileNetV3-Small,Loc,539,0.5012,0.7551,0.6025
MobileNetV3-Small,Near-full,22,0.8462,1.0,0.9167
MobileNetV3-Small,Random,130,0.659,0.8769,0.7525
MobileNetV3-Small,Scratch,179,0.1712,0.8045,0.2824
EfficientNet-B0,none,22115,0.9971,0.9445,0.9701
EfficientNet-B0,Center,644,0.7025,0.9534,0.809
EfficientNet-B0,Donut,83,0.8387,0.9398,0.8864
EfficientNet-B0,Edge-Loc,779,0.6014,0.8947,0.7193
EfficientNet-B0,Edge-Ring,1452,0.9569,0.9787,0.9677
EfficientNet-B0,Loc,539,0.5726,0.8052,0.6692
EfficientNet-B0,Near-full,22,0.84,0.9545,0.8936
EfficientNet-B0,Random,130,0.7099,0.8846,0.7877
EfficientNet-B0,Scratch,179,0.363,0.8883,0.5154
ViT-Tiny,none,22115,0.9952,0.9482,0.9711
ViT-Tiny,Center,644,0.7726,0.9441,0.8498
ViT-Tiny,Donut,83,0.8659,0.8554,0.8606
ViT-Tiny,Edge-Loc,779,0.6128,0.896,0.7278
ViT-Tiny,Edge-Ring,1452,0.9678,0.9725,0.9701
ViT-Tiny,Loc,539,0.5254,0.8256,0.6421
ViT-Tiny,Near-full,22,0.9167,1.0,0.9565
ViT-Tiny,Random,130,0.8284,0.8538,0.8409
ViT-Tiny,Scratch,179,0.345,0.7709,0.4767
AdvancedDefectPredictor,none,22115,0.995,0.9569,0.9755
AdvancedDefectPredictor,Center,644,0.784,0.9581,0.8623
AdvancedDefectPredictor,Donut,83,0.8659,0.8554,0.8606
AdvancedDefectPredictor,Edge-Loc,779,0.6312,0.9076,0.7446
AdvancedDefectPredictor,Edge-Ring,1452,0.9386,0.9793,0.9585
AdvancedDefectPredictor,Loc,539,0.5858,0.8108,0.6802
AdvancedDefectPredictor,Near-full,22,0.9091,0.9091,0.9091
AdvancedDefectPredictor,Random,130,0.7929,0.8538,0.8222
AdvancedDefectPredictor,Scratch,179,0.4981,0.7318,0.5928
